fiscal_year,health_authority,hospital_name,procedure_group,waiting,completed,completed_50th_percentile,completed_90th_percentile
2009/10,Fraser,All Facilities,All Procedures,22901.0,62147.0,6.0,27.6
2009/10,Interior,All Facilities,All Procedures,14816.0,40352.0,5.9,26.7
2009/10,Northern,All Facilities,All Procedures,4562.0,13858.0,5.1,31.4
2009/10,Provincial Health Services Authority,All Facilities,All Procedures,505.0,2022.0,4.6,13.1
2009/10,Vancouver Coastal,All Facilities,All Procedures,15515.0,57300.0,4.3,19.0
2009/10,Vancouver Island,All Facilities,All Procedures,13821.0,43805.0,5.9,22.1
2010/11,Fraser,All Facilities,All Procedures,24917.0,62469.0,7.3,28.9
2010/11,Interior,All Facilities,All Procedures,13880.0,42251.0,5.9,29.7
2010/11,Northern,All Facilities,All Procedures,3779.0,14346.0,5.3,29.1
2010/11,Provincial Health Services Authority,All Facilities,All Procedures,2108.0,2135.0,4.0,12.3
2010/11,Vancouver Coastal,All Facilities,All Procedures,16606.0,58185.0,4.1,19.6
2010/11,Vancouver Island,All Facilities,All Procedures,14478.0,46268.0,6.4,25.0
2011/12,Fraser,All Facilities,All Procedures,22728.0,61547.0,6.9,31.0
2011/12,Interior,All Facilities,All Procedures,14465.0,42213.0,5.7,29.0
2011/12,Northern,All Facilities,All Procedures,3743.0,15204.0,5.7,24.0
2011/12,Provincial Health Services Authority,All Facilities,All Procedures,2045.0,8319.0,4.7,22.8
2011/12,Vancouver Coastal,All Facilities,All Procedures,17766.0,59378.0,4.4,21.0
2011/12,Vancouver Island,All Facilities,All Procedures,14999.0,46217.0,7.0,25.1
2012/13,Fraser,All Facilities,All Procedures,22349.0,59334.0,6.0,29.7
2012/13,Interior,All Facilities,All Procedures,13982.0,41466.0,5.6,30.6
2012/13,Northern,All Facilities,All Procedures,3577.0,14544.0,5.3,23.0
2012/13,Provincial Health Services Authority,All Facilities,All Procedures,2165.0,8642.0,3.3,18.7
2012/13,Vancouver Coastal,All Facilities,All Procedures,15318.0,58536.0,4.1,20.9
2012/13,Vancouver Island,All Facilities,All Procedures,16009.0,45467.0,6.9,26.1
2013/14,Fraser,All Facilities,All Procedures,21989.0,60180.0,6.3,29.1
2013/14,Interior,All Facilities,All Procedures,14039.0,41375.0,5.7,30.4
2013/14,Northern,All Facilities,All Procedures,2998.0,14593.0,5.0,22.9
2013/14,Provincial Health Services Authority,All Facilities,All Procedures,1733.0,8644.0,3.4,19.7
2013/14,Vancouver Coastal,All Facilities,All Procedures,16706.0,56729.0,4.7,21.4
2013/14,Vancouver Island,All Facilities,All Procedures,18114.0,44194.0,7.0,30.9
2014/15,Fraser,All Facilities,All Procedures,22111.0,60654.0,7.0,31.9
2014/15,Interior,All Facilities,All Procedures,15017.0,41527.0,6.7,32.0
2014/15,Northern,All Facilities,All Procedures,3223.0,13295.0,4.4,22.3
