fiscal_year,health_authority,hospital_name,procedure_group,waiting,completed,completed_50th_percentile,completed_90th_percentile
2009/10,All Health Authorities,All Facilities,Abdominoplasty,52.0,100.0,9.1,42.6
2009/10,All Health Authorities,All Facilities,Aortic Aneurysm Repair,96.0,365.0,3.7,13.5
2009/10,All Health Authorities,All Facilities,Appendectomy,19.0,88.0,3.7,9.1
2009/10,All Health Authorities,All Facilities,Bariatric Surgery,531.0,201.0,16.6,151.7
2009/10,All Health Authorities,All Facilities,Biopsy in OR,438.0,2919.0,2.9,10.7
2009/10,All Health Authorities,All Facilities,Bladder Surgery,1829.0,6004.0,4.4,23.2
2009/10,All Health Authorities,All Facilities,Bowel Resection,381.0,2800.0,2.7,9.7
2009/10,All Health Authorities,All Facilities,Breast Biopsy,230.0,2571.0,2.4,6.4
2009/10,All Health Authorities,All Facilities,Breast Reconstruction,474.0,1112.0,6.0,29.6
2009/10,All Health Authorities,All Facilities,Breast Reduction,1450.0,1743.0,14.0,46.0
2009/10,All Health Authorities,All Facilities,CSF Drainage,5.0,63.0,1.9,8.2
2009/10,All Health Authorities,All Facilities,Cataract Surgery,12981.0,47146.0,6.6,25.1
2009/10,All Health Authorities,All Facilities,Cholecystectomy,1608.0,5713.0,5.0,19.1
2009/10,All Health Authorities,All Facilities,Colostomy/Ileostomy,185.0,625.0,5.1,19.6
2009/10,All Health Authorities,All Facilities,Cone Biopsy,77.0,662.0,3.0,9.1
2009/10,All Health Authorities,All Facilities,Cranial Surgery,86.0,966.0,1.1,7.4
2009/10,All Health Authorities,All Facilities,Cyst/Ganglion Removal,464.0,1470.0,5.4,20.6
2009/10,All Health Authorities,All Facilities,D&C and Related Surgery,1063.0,5789.0,3.7,14.6
2009/10,All Health Authorities,All Facilities,Dental Surgery,2158.0,5251.0,7.0,26.1
2009/10,All Health Authorities,All Facilities,Endarterectomy,131.0,619.0,3.3,12.3
2009/10,All Health Authorities,All Facilities,Esophagectomy,19.0,121.0,2.7,12.4
2009/10,All Health Authorities,All Facilities,Examination Under Anaesthetic,134.0,612.0,3.9,13.8
2009/10,All Health Authorities,All Facilities,Excision Gynecomastia,87.0,200.0,7.4,39.2
2009/10,All Health Authorities,All Facilities,Excision Lesion/Tumour,485.0,2163.0,3.3,14.3
2009/10,All Health Authorities,All Facilities,Facial Bone Reconstruction,410.0,829.0,4.1,41.0
2009/10,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,1277.0,4030.0,5.7,20.1
2009/10,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,37.0,145.0,4.9,22.2
2009/10,All Health Authorities,All Facilities,Foot/Ankle Surgery,417.0,770.0,6.7,35.6
2009/10,All Health Authorities,All Facilities,Foreign Body Removal Surgery,52.0,247.0,2.3,16.9
2009/10,All Health Authorities,All Facilities,Fracture Repair,239.0,1489.0,0.4,9.2
2009/10,All Health Authorities,All Facilities,Free Flap Graft,26.0,116.0,3.0,16.9
2009/10,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,,57.0,1.1,7.7
2009/10,All Health Authorities,All Facilities,Hand/Wrist Surgery,838.0,2236.0,6.3,24.0
2009/10,All Health Authorities,All Facilities,Hernia Repair - Abdominal,4105.0,10479.0,7.0,27.1
2009/10,All Health Authorities,All Facilities,Hernia Repair - Hiatal,206.0,269.0,10.9,35.9
2009/10,All Health Authorities,All Facilities,Hip Replacement,1577.0,4242.0,10.4,27.6
2009/10,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,168.0,1238.0,3.1,10.0
2009/10,All Health Authorities,All Facilities,Knee - ACL Repair,726.0,1731.0,8.1,28.7
2009/10,All Health Authorities,All Facilities,Knee - Meniscectomy,668.0,2003.0,6.0,29.8
2009/10,All Health Authorities,All Facilities,Knee Arthroscopy,2751.0,6810.0,6.4,27.7
2009/10,All Health Authorities,All Facilities,Knee Replacement,3354.0,6466.0,12.0,35.7
2009/10,All Health Authorities,All Facilities,Laparoscopy,455.0,1798.0,4.8,16.3
2009/10,All Health Authorities,All Facilities,Laparotomy,54.0,509.0,2.6,9.9
2009/10,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,443.0,2736.0,1.6,13.3
2009/10,All Health Authorities,All Facilities,Ligament Surgery,52.0,162.0,6.8,25.0
2009/10,All Health Authorities,All Facilities,Lipectomy,37.0,146.0,6.3,27.6
2009/10,All Health Authorities,All Facilities,Lung Surgery,61.0,582.0,2.4,5.0
2009/10,All Health Authorities,All Facilities,Male Reproductive Surgery,805.0,2117.0,5.6,22.5
2009/10,All Health Authorities,All Facilities,Mastectomy,346.0,3780.0,1.9,5.6
2009/10,All Health Authorities,All Facilities,Mastoidectomy,111.0,259.0,9.7,38.7
2009/10,All Health Authorities,All Facilities,Myringotomy,321.0,1388.0,4.7,13.3
2009/10,All Health Authorities,All Facilities,Nasal Surgery,2050.0,3005.0,10.0,40.0
2009/10,All Health Authorities,All Facilities,Nerve Surgery,597.0,1109.0,5.0,33.6
2009/10,All Health Authorities,All Facilities,Oral Cavity & Pharynx Surgery,87.0,341.0,6.6,24.7
2009/10,All Health Authorities,All Facilities,Other Ear Surgery,84.0,182.0,9.9,37.9
2009/10,All Health Authorities,All Facilities,Other Eye Surgery,1298.0,3986.0,4.6,27.3
2009/10,All Health Authorities,All Facilities,Other Joint Reconstruction,898.0,1821.0,7.9,41.6
2009/10,All Health Authorities,All Facilities,Other Orthopaedic Surgery,2601.0,6415.0,5.6,28.9
2009/10,All Health Authorities,All Facilities,Other Urology Surgery,1528.0,6698.0,3.7,16.9
2009/10,All Health Authorities,All Facilities,Parotidectomy,109.0,311.0,5.0,21.9
2009/10,All Health Authorities,All Facilities,Prostate Surgery,1331.0,5113.0,4.9,19.6
2009/10,All Health Authorities,All Facilities,Rectal Surgery,814.0,1581.0,7.0,27.7
2009/10,All Health Authorities,All Facilities,Rib Resection,52.0,57.0,26.0,68.9
2009/10,All Health Authorities,All Facilities,Scope of Chest,69.0,714.0,2.0,5.0
2009/10,All Health Authorities,All Facilities,Shoulder Surgery,2011.0,2884.0,10.1,41.9
2009/10,All Health Authorities,All Facilities,Shunt Insertion/Removal,10.0,69.0,1.0,5.3
2009/10,All Health Authorities,All Facilities,Sinus Surgery,1303.0,1686.0,10.4,41.6
2009/10,All Health Authorities,All Facilities,Skin Surgery,267.0,930.0,3.9,25.9
2009/10,All Health Authorities,All Facilities,Skin Tumour Removal,691.0,2901.0,3.4,17.3
2009/10,All Health Authorities,All Facilities,Sphincterotomy,75.0,190.0,4.0,21.6
