fiscal_year,quarter,health_authority,hospital_name,procedure_group,waiting,completed,percentile_comp_50th,percentile_comp_90th
2025/26,Q1,All Health Authorities,All Facilities,Abdominoplasty,86.0,63.0,7.3,29.0
2025/26,Q1,All Health Authorities,All Facilities,All Other Procedures,2309.0,2454.0,4.7,22.0
2025/26,Q1,All Health Authorities,All Facilities,All Procedures,92443.0,76301.0,6.0,30.7
2025/26,Q1,All Health Authorities,All Facilities,Aortic Aneurysm Repair,56.0,134.0,3.3,11.1
2025/26,Q1,All Health Authorities,All Facilities,Appendectomy,71.0,100.0,6.0,16.2
2025/26,Q1,All Health Authorities,All Facilities,Bariatric Surgery,104.0,111.0,6.3,35.6
2025/26,Q1,All Health Authorities,All Facilities,Biopsy in OR,360.0,569.0,2.4,9.1
2025/26,Q1,All Health Authorities,All Facilities,Bladder Surgery,898.0,1389.0,4.0,15.6
2025/26,Q1,All Health Authorities,All Facilities,Bowel Resection,359.0,679.0,3.0,10.1
2025/26,Q1,All Health Authorities,All Facilities,Breast Biopsy,118.0,319.0,3.0,8.0
2025/26,Q1,All Health Authorities,All Facilities,Breast Reconstruction,394.0,350.0,4.4,35.2
2025/26,Q1,All Health Authorities,All Facilities,Breast Reduction,1781.0,691.0,10.1,49.0
2025/26,Q1,All Health Authorities,All Facilities,CSF Drainage,29.0,48.0,0.9,5.5
2025/26,Q1,All Health Authorities,All Facilities,Cataract Surgery,16748.0,21288.0,5.0,21.7
2025/26,Q1,All Health Authorities,All Facilities,Cholecystectomy,1240.0,1414.0,5.3,20.7
2025/26,Q1,All Health Authorities,All Facilities,Colostomy/Ileostomy,163.0,172.0,5.1,25.2
2025/26,Q1,All Health Authorities,All Facilities,Cone Biopsy,60.0,129.0,3.9,10.9
2025/26,Q1,All Health Authorities,All Facilities,Cranial Surgery,169.0,299.0,2.6,15.5
2025/26,Q1,All Health Authorities,All Facilities,Cyst/Ganglion Removal,307.0,253.0,6.9,25.5
2025/26,Q1,All Health Authorities,All Facilities,D&C and Related Surgery,1090.0,1453.0,4.1,16.3
2025/26,Q1,All Health Authorities,All Facilities,Dental Surgery,3588.0,2077.0,9.0,38.2
2025/26,Q1,All Health Authorities,All Facilities,Endarterectomy,80.0,200.0,2.3,6.3
2025/26,Q1,All Health Authorities,All Facilities,Esophagectomy,33.0,39.0,3.7,18.9
2025/26,Q1,All Health Authorities,All Facilities,Examination Under Anaesthetic,427.0,400.0,5.3,21.2
2025/26,Q1,All Health Authorities,All Facilities,Excision Gynecomastia,60.0,34.0,18.9,43.5
